NK SpeedCoach Rowing Session
Session Summary:
Serial Number,NK-123456
Session Name,Morning steady-state
Session Date,2020-01-11
Session Start Time,09:12:00
Total Distance (GPS),4735
Total Elapsed Time,00:20:26.86
Total Strokes,450

Per-Stroke Data:
Interval,Distance (GPS),Elapsed Time,Split (GPS),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Heart Rate,Power
1,11.6,00:00:03.35,2:24.7,17.9,1,11.60,120,0
1,22.8,00:00:06.59,2:24.7,18.6,2,11.17,116,0
1,34.1,00:00:09.87,2:24.5,18.3,3,11.37,119,0
1,45.5,00:00:13.19,2:25.5,18.1,4,11.40,123,0
1,56.7,00:00:16.43,2:25.2,18.5,5,11.15,118,0
1,68.7,00:00:19.92,2:25.5,17.2,6,12.00,124,0
1,80.2,00:00:23.25,2:24.8,18.0,7,11.49,122,0
1,92.5,00:00:26.81,2:24.4,16.8,8,12.34,121,0
1,103.6,00:00:30.02,2:24.5,18.7,9,11.10,121,0
1,114.9,00:00:33.31,2:26.6,18.2,10,11.25,117,0
1,126.3,00:00:36.57,2:22.0,18.5,11,11.45,112,0
1,138.3,00:00:39.99,2:23.2,17.5,12,11.96,123,0
1,149.6,00:00:43.23,2:22.6,18.5,13,11.36,123,0
1,161.7,00:00:46.72,2:24.8,17.2,14,12.04,119,0
1,173.0,00:00:50.03,2:26.6,18.1,15,11.31,122,0
1,184.2,00:00:53.32,2:26.3,18.3,16,11.22,121,0
1,196.1,00:00:56.75,2:23.6,17.5,17,11.94,119,0
1,207.4,00:01:00.01,2:24.5,18.4,18,11.28,127,0
1,219.5,00:01:03.47,2:22.8,17.3,19,12.11,122,0
1,230.3,00:01:06.60,2:26.0,19.1,20,10.74,123,0
1,241.1,00:01:09.74,2:24.8,19.1,21,10.82,116,0
1,252.7,00:01:13.15,2:26.9,17.6,22,11.62,116,0
1,264.2,00:01:16.48,2:25.5,18.0,23,11.44,119,0
1,275.2,00:01:19.71,2:26.2,18.6,24,11.05,127,0
1,286.5,00:01:22.95,2:23.8,18.5,25,11.28,118,0
1,298.3,00:01:26.41,2:26.9,17.3,26,11.78,118,0
1,309.7,00:01:29.76,2:26.5,17.9,27,11.41,118,0
1,321.6,00:01:33.13,2:21.3,17.8,28,11.95,117,0
1,333.3,00:01:36.55,2:25.8,17.5,29,11.72,124,0
1,344.8,00:01:39.89,2:25.5,18.0,30,11.46,121,0
1,355.6,00:01:43.07,2:26.8,18.9,31,10.83,121,0
1,367.5,00:01:46.56,2:26.8,17.2,32,11.89,121,0
1,378.4,00:01:49.72,2:24.9,19.0,33,10.90,126,0
1,389.9,00:01:53.11,2:28.2,17.7,34,11.43,120,0
1,401.8,00:01:56.52,2:22.7,17.6,35,11.95,120,0
1,412.5,00:01:59.65,2:26.6,19.1,36,10.69,122,0
1,425.2,00:02:03.38,2:26.4,16.1,37,12.73,122,0
1,437.1,00:02:06.80,2:23.7,17.6,38,11.89,120,0
1,447.9,00:02:09.89,2:22.9,19.4,39,10.83,119,0
1,458.9,00:02:13.04,2:24.1,19.1,40,10.91,119,0
1,470.1,00:02:16.03,2:12.5,20.1,41,11.28,136,0
1,481.7,00:02:19.18,2:16.8,19.0,42,11.52,135,0
1,491.8,00:02:21.93,2:15.6,21.8,43,10.14,139,0
1,503.5,00:02:25.09,2:14.8,19.0,44,11.74,136,0
1,514.2,00:02:27.90,2:11.6,21.4,45,10.65,138,0
1,524.8,00:02:30.83,2:18.1,20.5,46,10.61,137,0
1,536.0,00:02:33.82,2:14.0,20.0,47,11.17,131,0
1,547.0,00:02:36.80,2:14.6,20.2,48,11.06,141,0
1,558.4,00:02:39.87,2:15.6,19.5,49,11.34,130,0
1,569.6,00:02:42.92,2:15.5,19.7,50,11.25,137,0
1,580.1,00:02:45.76,2:14.9,21.2,51,10.51,132,0
1,591.0,00:02:48.70,2:16.0,20.4,52,10.83,136,0
1,602.2,00:02:51.79,2:17.3,19.4,53,11.24,135,0
1,612.8,00:02:54.71,2:17.5,20.6,54,10.61,137,0
1,623.4,00:02:57.67,2:19.3,20.2,55,10.65,136,0
1,634.7,00:03:00.71,2:15.2,19.8,56,11.23,139,0
1,645.6,00:03:03.70,2:16.0,20.1,57,10.97,139,0
1,657.3,00:03:06.76,2:11.5,19.6,58,11.64,136,0
1,668.4,00:03:09.73,2:13.8,20.2,59,11.11,138,0
1,679.4,00:03:12.66,2:13.0,20.5,60,11.01,137,0
1,690.9,00:03:15.68,2:12.0,19.8,61,11.45,136,0
1,702.1,00:03:18.69,2:13.5,20.0,62,11.26,137,0
1,713.1,00:03:21.63,2:13.8,20.4,63,10.99,136,0
1,723.9,00:03:24.51,2:13.6,20.8,64,10.79,136,0
1,734.6,00:03:27.51,2:19.5,20.0,65,10.75,129,0
1,745.5,00:03:30.43,2:14.4,20.6,66,10.86,135,0
1,755.8,00:03:33.22,2:15.0,21.5,67,10.33,142,0
1,767.1,00:03:36.27,2:15.7,19.6,68,11.25,134,0
1,778.5,00:03:39.36,2:15.1,19.4,69,11.42,134,0
1,789.9,00:03:42.34,2:10.8,20.2,70,11.38,141,0
1,800.8,00:03:45.36,2:18.5,19.9,71,10.90,132,0
1,811.3,00:03:48.32,2:21.3,20.2,72,10.49,132,0
1,823.2,00:03:51.51,2:13.9,18.8,73,11.91,136,0
1,833.8,00:03:54.43,2:17.6,20.6,74,10.61,134,0
1,845.7,00:03:57.64,2:14.1,18.7,75,11.95,139,0
1,857.0,00:04:00.58,2:11.1,20.4,76,11.23,135,0
1,867.2,00:04:03.42,2:19.3,21.1,77,10.20,137,0
1,878.4,00:04:06.39,2:12.5,20.2,78,11.18,132,0
1,889.4,00:04:09.38,2:16.0,20.0,79,11.01,137,0
1,900.9,00:04:12.44,2:12.7,19.6,80,11.52,133,0
1,912.4,00:04:15.58,2:16.3,19.1,81,11.54,128,0
1,923.6,00:04:18.63,2:15.9,19.7,82,11.19,140,0
1,934.5,00:04:21.62,2:17.0,20.1,83,10.92,134,0
1,946.1,00:04:24.71,2:13.7,19.4,84,11.57,140,0
1,956.7,00:04:27.59,2:16.0,20.8,85,10.61,145,0
1,967.7,00:04:30.60,2:16.2,20.0,86,11.02,136,0
1,978.6,00:04:33.62,2:19.6,19.8,87,10.84,140,0
1,990.4,00:04:36.80,2:14.2,18.9,88,11.84,136,0
1,1001.4,00:04:39.71,2:12.3,20.6,89,10.99,128,0
1,1013.5,00:04:42.96,2:14.9,18.5,90,12.04,135,0
1,1024.5,00:04:45.92,2:13.5,20.3,91,11.09,131,0
1,1036.6,00:04:49.18,2:15.7,18.4,92,12.03,136,0
1,1047.1,00:04:52.07,2:16.6,20.8,93,10.56,134,0
1,1057.7,00:04:54.91,2:14.7,21.1,94,10.56,133,0
1,1069.1,00:04:57.98,2:13.8,19.6,95,11.45,129,0
1,1080.1,00:05:00.96,2:15.5,20.1,96,11.00,134,0
1,1091.5,00:05:04.05,2:15.7,19.4,97,11.38,140,0
1,1102.7,00:05:07.04,2:14.0,20.0,98,11.18,133,0
1,1114.1,00:05:10.05,2:12.5,19.9,99,11.35,135,0
1,1124.8,00:05:13.04,2:18.7,20.0,100,10.79,138,0
1,1135.6,00:05:15.92,2:13.6,20.8,101,10.78,137,0
