NK SpeedCoach Rowing Session
Session Summary:
Serial Number,NK-777888
Session Name,Port 8+ morning row
Session Date,2020-01-11
Session Start Time,09:12:00
Total Distance (GPS),4717
Total Elapsed Time,00:20:23.12
Total Strokes,450

Per-Stroke Data:
Interval,Distance (GPS),Elapsed Time,Split (GPS),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Heart Rate,Power
1,11.5,00:00:03.37,2:26.0,17.8,1,11.55,119,0
1,23.4,00:00:06.75,2:23.1,17.7,2,11.81,119,0
1,34.2,00:00:09.93,2:25.8,18.9,3,10.89,123,0
1,45.6,00:00:13.23,2:25.8,18.2,4,11.31,121,0
1,57.8,00:00:16.83,2:26.7,16.7,5,12.27,122,0
1,69.3,00:00:20.09,2:21.6,18.4,6,11.51,115,0
1,81.4,00:00:23.56,2:24.1,17.3,7,12.05,121,0
1,92.8,00:00:26.90,2:26.0,18.0,8,11.44,118,0
1,104.1,00:00:30.19,2:25.8,18.2,9,11.28,118,0
1,114.7,00:00:33.28,2:26.1,19.4,10,10.60,124,0
1,126.6,00:00:36.71,2:23.5,17.5,11,11.94,119,0
1,138.1,00:00:40.06,2:26.3,17.9,12,11.45,121,0
1,150.0,00:00:43.46,2:23.1,17.6,13,11.88,118,0
1,161.0,00:00:46.62,2:23.4,19.0,14,11.03,121,0
1,172.5,00:00:49.89,2:22.0,18.3,15,11.52,120,0
1,183.7,00:00:53.04,2:21.0,19.0,16,11.17,119,0
1,195.4,00:00:56.39,2:23.4,17.9,17,11.68,121,0
1,207.1,00:00:59.74,2:22.1,18.0,18,11.76,122,0
1,218.1,00:01:02.97,2:26.9,18.5,19,11.02,124,0
1,229.4,00:01:06.25,2:25.2,18.3,20,11.29,116,0
1,240.7,00:01:09.50,2:23.8,18.5,21,11.28,119,0
1,253.1,00:01:13.03,2:23.1,17.0,22,12.34,118,0
1,264.2,00:01:16.18,2:20.9,19.0,23,11.18,116,0
1,275.4,00:01:19.48,2:27.9,18.2,24,11.15,122,0
1,288.4,00:01:23.12,2:20.0,16.5,25,13.01,121,0
1,300.5,00:01:26.57,2:22.8,17.4,26,12.07,123,0
1,311.4,00:01:29.75,2:25.3,18.9,27,10.93,121,0
1,322.4,00:01:33.02,2:28.2,18.3,28,11.03,122,0
1,333.6,00:01:36.27,2:26.1,18.4,29,11.15,115,0
1,344.3,00:01:39.43,2:26.9,19.0,30,10.73,122,0
1,357.0,00:01:43.08,2:23.7,16.4,31,12.71,123,0
1,369.6,00:01:46.71,2:24.6,16.6,32,12.53,123,0
1,381.5,00:01:50.25,2:28.2,17.0,33,11.94,122,0
1,393.0,00:01:53.60,2:25.6,17.9,34,11.52,122,0
1,404.3,00:01:56.92,2:27.3,18.1,35,11.26,118,0
1,415.8,00:02:00.31,2:27.1,17.7,36,11.54,120,0
1,427.6,00:02:03.78,2:26.9,17.3,37,11.81,124,0
1,439.6,00:02:07.18,2:22.2,17.6,38,11.95,120,0
1,451.2,00:02:10.54,2:24.4,17.9,39,11.62,124,0
1,463.0,00:02:14.03,2:27.5,17.2,40,11.84,116,0
1,474.4,00:02:17.13,2:16.3,19.4,41,11.37,138,0
1,485.1,00:02:20.03,2:15.7,20.7,42,10.69,135,0
1,496.1,00:02:23.01,2:16.2,20.1,43,10.95,134,0
1,506.9,00:02:25.98,2:16.1,20.2,44,10.90,135,0
1,517.6,00:02:28.89,2:16.1,20.6,45,10.69,141,0
