NK SpeedCoach Rowing Session
Session Summary:
Serial Number,NK-999111
Session Name,Starboard 8+ morning row
Session Date,2020-01-11
Session Start Time,09:12:00
Total Distance (GPS),4728
Total Elapsed Time,00:20:23.46
Total Strokes,450

Per-Stroke Data:
Interval,Distance (GPS),Elapsed Time,Split (GPS),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Heart Rate,Power
1,10.9,00:00:03.22,2:27.6,18.6,1,10.91,118,0
1,22.8,00:00:06.69,2:25.8,17.3,2,11.89,125,0
1,34.3,00:00:09.96,2:22.8,18.3,3,11.46,118,0
1,45.6,00:00:13.30,2:26.9,18.0,4,11.36,120,0
1,57.3,00:00:16.68,2:24.6,17.7,5,11.69,121,0
1,69.2,00:00:20.12,2:25.1,17.4,6,11.86,121,0
1,79.9,00:00:23.22,2:24.9,19.3,7,10.72,123,0
1,91.8,00:00:26.71,2:26.7,17.2,8,11.87,121,0
1,103.5,00:00:30.12,2:25.0,17.6,9,11.75,123,0
1,115.0,00:00:33.49,2:27.1,17.8,10,11.48,125,0
1,125.5,00:00:36.60,2:28.2,19.3,11,10.49,116,0
1,136.9,00:00:39.88,2:23.7,18.3,12,11.41,123,0
1,148.3,00:00:43.20,2:25.5,18.1,13,11.40,121,0
1,160.0,00:00:46.62,2:25.3,17.6,14,11.76,118,0
1,170.6,00:00:49.67,2:24.2,19.7,15,10.58,120,0
1,183.3,00:00:53.27,2:22.2,16.6,16,12.68,118,0
1,194.3,00:00:56.49,2:26.6,18.7,17,10.97,121,0
1,205.8,00:00:59.91,2:28.7,17.5,18,11.51,117,0
1,217.6,00:01:03.37,2:26.0,17.4,19,11.84,117,0
1,228.8,00:01:06.66,2:27.0,18.2,20,11.19,120,0
1,240.1,00:01:09.93,2:25.1,18.3,21,11.26,118,0
1,253.6,00:01:13.79,2:22.7,15.5,22,13.53,120,0
1,266.1,00:01:17.38,2:24.0,16.7,23,12.45,121,0
1,277.1,00:01:20.52,2:22.4,19.1,24,11.04,119,0
1,288.4,00:01:23.82,2:26.1,18.2,25,11.28,116,0
1,299.1,00:01:26.90,2:23.5,19.5,26,10.73,123,0
1,310.6,00:01:30.25,2:25.9,17.9,27,11.51,125,0
1,321.7,00:01:33.48,2:25.3,18.6,28,11.11,117,0
1,333.8,00:01:36.91,2:22.3,17.5,29,12.04,126,0
1,346.5,00:01:40.48,2:20.0,16.8,30,12.76,125,0
1,357.4,00:01:43.63,2:24.4,19.0,31,10.92,123,0
1,369.4,00:01:47.08,2:23.9,17.4,32,11.99,122,0
1,380.8,00:01:50.35,2:24.2,18.3,33,11.35,125,0
1,391.9,00:01:53.58,2:25.3,18.6,34,11.09,117,0
1,403.3,00:01:56.89,2:24.4,18.1,35,11.45,120,0
1,414.5,00:02:00.10,2:23.9,18.7,36,11.17,121,0
1,425.5,00:02:03.32,2:25.8,18.7,37,11.03,127,0
1,438.0,00:02:06.92,2:24.9,16.6,38,12.44,117,0
1,449.1,00:02:10.26,2:30.1,18.0,39,11.12,115,0
1,460.6,00:02:13.63,2:26.4,17.8,40,11.52,120,0
1,471.6,00:02:16.52,2:12.0,20.8,41,10.96,138,0
1,483.3,00:02:19.64,2:12.6,19.3,42,11.74,137,0
1,494.3,00:02:22.58,2:13.6,20.4,43,11.01,133,0
1,505.5,00:02:25.60,2:15.0,19.9,44,11.19,135,0
1,517.5,00:02:28.72,2:10.4,19.2,45,11.97,139,0
1,528.7,00:02:31.70,2:12.6,20.2,46,11.23,130,0
1,540.2,00:02:34.78,2:14.2,19.5,47,11.48,129,0
1,550.6,00:02:37.62,2:15.9,21.1,48,10.45,134,0
1,561.5,00:02:40.58,2:15.5,20.3,49,10.91,138,0
1,572.4,00:02:43.56,2:17.5,20.1,50,10.83,140,0
1,583.7,00:02:46.59,2:14.1,19.8,51,11.31,132,0
1,595.0,00:02:49.62,2:13.6,19.8,52,11.32,135,0
1,605.9,00:02:52.58,2:16.1,20.3,53,10.88,132,0
1,616.6,00:02:55.46,2:14.4,20.9,54,10.69,135,0
1,628.2,00:02:58.52,2:11.1,19.6,55,11.68,136,0
1,640.0,00:03:01.74,2:17.2,18.6,56,11.75,135,0
1,650.4,00:03:04.56,2:16.3,21.3,57,10.35,137,0
1,660.9,00:03:07.40,2:14.9,21.1,58,10.52,140,0
1,672.0,00:03:10.42,2:15.5,19.9,59,11.12,133,0
1,682.8,00:03:13.35,2:16.4,20.4,60,10.76,134,0
1,694.5,00:03:16.51,2:15.0,19.0,61,11.71,136,0
1,705.8,00:03:19.53,2:13.1,19.9,62,11.34,133,0
1,717.5,00:03:22.56,2:09.8,19.8,63,11.67,133,0
1,728.2,00:03:25.40,2:12.5,21.2,64,10.71,134,0
1,738.5,00:03:28.21,2:16.4,21.4,65,10.30,138,0
1,749.9,00:03:31.22,2:12.4,19.9,66,11.39,144,0
1,760.8,00:03:34.19,2:15.5,20.2,67,10.93,140,0
1,771.6,00:03:37.09,2:15.1,20.7,68,10.75,132,0
1,782.8,00:03:40.11,2:14.7,19.9,69,11.20,133,0
1,794.4,00:03:43.22,2:13.0,19.3,70,11.67,135,0
1,805.7,00:03:46.29,2:15.8,19.5,71,11.31,138,0
1,816.7,00:03:49.25,2:15.1,20.3,72,10.97,140,0
1,827.8,00:03:52.17,2:12.1,20.5,73,11.07,133,0
1,838.9,00:03:55.15,2:13.3,20.2,74,11.17,137,0
1,851.2,00:03:58.37,2:11.2,18.6,75,12.29,138,0
1,862.3,00:04:01.30,2:11.8,20.5,76,11.12,135,0
1,873.1,00:04:04.15,2:12.8,21.1,77,10.72,131,0
